"id","product","review","category"
"51","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"52","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"53","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"54","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"55","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"56","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"57","Sprinkler System","Average system","water pressure could be better."""""
"58","Sprinkler System","Average system","water pressure could be better."""""
"59","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"60","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"61","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"62","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"63","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"64","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"65","Sprinkler System","Average system","water pressure could be better."""""
"66","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"67","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"68","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"69","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"70","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"71","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"72","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"73","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"74","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"75","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"76","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"77","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"78","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"79","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"80","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"81","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"82","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"83","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"84","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"85","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"86","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"87","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"88","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"89","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"90","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"91","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"92","Sprinkler System","Average system","water pressure could be better."""""
"93","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"94","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"95","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"96","Sprinkler System","Average system","water pressure could be better."""""
"97","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"98","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"99","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"100","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"101","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"102","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"103","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"104","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"105","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"106","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"107","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"108","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"109","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"110","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"111","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"112","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"113","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"114","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"115","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"116","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"117","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"118","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"119","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"120","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"121","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"122","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"123","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"124","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"125","Sprinkler System","Average system","water pressure could be better."""""
"126","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"127","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"128","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"129","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"130","Sprinkler System","Average system","water pressure could be better."""""
"131","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"132","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"133","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"134","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"135","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"136","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"137","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"138","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"139","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"140","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"141","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"142","Sprinkler System","Average system","water pressure could be better."""""
"143","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"144","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"145","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"146","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"147","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"148","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"149","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"150","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"151","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"152","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"153","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"154","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"155","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"156","Sprinkler System","Average system","water pressure could be better."""""
"157","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"158","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"159","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"160","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"161","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"162","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"163","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"164","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"165","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"166","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"167","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"168","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"169","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"170","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"171","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"172","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"173","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"174","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"175","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"176","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"177","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"178","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"179","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"180","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"181","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"182","Sprinkler System","Average system","water pressure could be better."""""
"183","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"184","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"185","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"186","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"187","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"188","Sprinkler System","Average system","water pressure could be better."""""
"189","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"190","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"191","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"192","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"193","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"194","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"195","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"196","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"197","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"198","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"199","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"200","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"201","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"202","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"203","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"204","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"205","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"206","Sprinkler System","Average system","water pressure could be better."""""
"207","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"208","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"209","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"210","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"211","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"212","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"213","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"214","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"215","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"216","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"217","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"218","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"219","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"220","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"221","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"222","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"223","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"224","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"225","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"226","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"227","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"228","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"229","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"230","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"231","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"232","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"233","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"234","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"235","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"236","Sprinkler System","Average system","water pressure could be better."""""
"237","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"238","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"239","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"240","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"241","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"242","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"243","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"244","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"245","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"246","Sprinkler System","Average system","water pressure could be better."""""
"247","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"248","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"249","Sprinkler System","Average system","water pressure could be better."""""
"250","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"251","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"252","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"253","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"254","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"255","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"256","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"257","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"258","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"259","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"260","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"261","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"262","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"263","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"264","Sprinkler System","Average system","water pressure could be better."""""
"265","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"266","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"267","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"268","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"269","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"270","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"271","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"272","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"273","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"274","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"275","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"276","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"277","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"278","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"279","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"280","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"281","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"282","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"283","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"284","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"285","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"286","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"287","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"288","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"289","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"290","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"291","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"292","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"293","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"294","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"295","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"296","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"297","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"298","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"299","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"300","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"301","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"302","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"303","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"304","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"305","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"306","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"307","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"308","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"309","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"310","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"311","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"312","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"313","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"314","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"315","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"316","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"317","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"318","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"319","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"320","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"321","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"322","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"323","Sprinkler System","Average system","water pressure could be better."""""
"324","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"325","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"326","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"327","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"328","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"329","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"330","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"331","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"332","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"333","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"334","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"335","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"336","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"337","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"338","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"339","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"340","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"341","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"342","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"343","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"344","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"345","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"346","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"347","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"348","Sprinkler System","Average system","water pressure could be better."""""
"349","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"350","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"351","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"352","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"353","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"354","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"355","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"356","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"357","Sprinkler System","Average system","water pressure could be better."""""
"358","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"359","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"360","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"361","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"362","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"363","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"364","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"365","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"366","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"367","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"368","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"369","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"370","Sprinkler System","Average system","water pressure could be better."""""
"371","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"372","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"373","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"374","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"375","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"376","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"377","Sprinkler System","Average system","water pressure could be better."""""
"378","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"379","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
