"id","product","review","category"
"62","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"63","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"64","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"65","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"66","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"67","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"68","Compost Manure","Terrible quality manure","waste of money."""""
"69","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"70","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"71","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"72","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"73","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"74","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"75","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"76","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"77","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"78","Compost Manure","Terrible quality manure","waste of money."""""
"79","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"80","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"81","Sprinkler System","Average system","water pressure could be better."""""
"82","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"83","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"84","Compost Manure","Terrible quality manure","waste of money."""""
"85","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"86","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"87","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"88","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"89","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"90","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"91","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"92","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"93","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"94","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"95","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"96","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"97","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"98","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"99","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"100","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"101","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"102","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"103","Compost Manure","Terrible quality manure","waste of money."""""
"104","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"105","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"106","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"107","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"108","Compost Manure","Terrible quality manure","waste of money."""""
"109","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"110","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"111","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"112","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"113","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"114","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"115","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"116","Compost Manure","Terrible quality manure","waste of money."""""
"117","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"118","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"119","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"120","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"121","Compost Manure","Terrible quality manure","waste of money."""""
"122","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"123","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"124","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"125","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"126","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"127","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"128","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"129","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"130","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"131","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"132","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"133","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"134","Sprinkler System","Average system","water pressure could be better."""""
"135","Compost Manure","Terrible quality manure","waste of money."""""
"136","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"137","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"138","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"139","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"140","Compost Manure","Terrible quality manure","waste of money."""""
"141","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"142","Compost Manure","Terrible quality manure","waste of money."""""
"143","Compost Manure","Terrible quality manure","waste of money."""""
"144","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"145","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"146","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"147","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"148","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"149","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"150","Compost Manure","Terrible quality manure","waste of money."""""
"151","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"152","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"153","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"154","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"155","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"156","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"157","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"158","Sprinkler System","Average system","water pressure could be better."""""
"159","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"160","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"161","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"162","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"163","Sprinkler System","Average system","water pressure could be better."""""
"164","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"165","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"166","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"167","Compost Manure","Terrible quality manure","waste of money."""""
"168","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"169","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"170","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"171","Compost Manure","Terrible quality manure","waste of money."""""
"172","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"173","Compost Manure","Terrible quality manure","waste of money."""""
"174","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"175","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"176","Compost Manure","Terrible quality manure","waste of money."""""
"177","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"178","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"179","Compost Manure","Terrible quality manure","waste of money."""""
"180","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"181","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"182","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"183","Compost Manure","Terrible quality manure","waste of money."""""
"184","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"185","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"186","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"187","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"188","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"189","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"190","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"191","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"192","Compost Manure","Terrible quality manure","waste of money."""""
"193","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"194","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"195","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"196","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"197","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"198","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"199","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"200","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"201","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"202","Compost Manure","Terrible quality manure","waste of money."""""
"203","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"204","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"205","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"206","Compost Manure","Terrible quality manure","waste of money."""""
"207","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"208","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"209","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"210","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"211","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"212","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"213","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"214","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"215","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"216","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"217","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"218","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"219","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"220","Sprinkler System","Average system","water pressure could be better."""""
"221","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"222","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"223","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"224","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"225","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"226","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"227","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"228","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"229","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"230","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"231","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"232","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"233","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"234","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"235","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"236","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"237","Sprinkler System","Average system","water pressure could be better."""""
"238","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"239","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"240","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"241","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"242","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"243","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"244","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"245","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"246","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"247","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"248","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"249","Sprinkler System","Average system","water pressure could be better."""""
"250","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"251","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"252","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"253","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"254","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"255","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"256","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"257","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"258","Compost Manure","Terrible quality manure","waste of money."""""
"259","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"260","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"261","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"262","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"263","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"264","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"265","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"266","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"267","Compost Manure","Terrible quality manure","waste of money."""""
"268","Sprinkler System","Average system","water pressure could be better."""""
"269","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"270","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"271","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"272","Compost Manure","Terrible quality manure","waste of money."""""
"273","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"274","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"275","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"276","Compost Manure","Terrible quality manure","waste of money."""""
"277","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"278","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"279","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"280","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"281","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"282","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"283","Sprinkler System","Average system","water pressure could be better."""""
"284","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"285","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"286","Compost Manure","Terrible quality manure","waste of money."""""
"287","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"288","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"289","Sprinkler System","Average system","water pressure could be better."""""
"290","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"291","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"292","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"293","Compost Manure","Terrible quality manure","waste of money."""""
"294","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"295","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"296","Compost Manure","Terrible quality manure","waste of money."""""
"297","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"298","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"299","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"300","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"301","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"302","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"303","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"304","Compost Manure","Terrible quality manure","waste of money."""""
"305","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"306","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"307","Compost Manure","Terrible quality manure","waste of money."""""
"308","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"309","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"310","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"311","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"312","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"313","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"314","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"315","Compost Manure","Terrible quality manure","waste of money."""""
"316","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"317","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"318","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"319","Sprinkler System","Average system","water pressure could be better."""""
"320","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"321","Sprinkler System","Average system","water pressure could be better."""""
"322","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"323","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"324","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"325","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"326","Sprinkler System","Average system","water pressure could be better."""""
"327","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"328","Sprinkler System","Average system","water pressure could be better."""""
"329","Compost Manure","Terrible quality manure","waste of money."""""
"330","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"331","Compost Manure","Terrible quality manure","waste of money."""""
"332","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"333","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"334","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"335","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"336","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"337","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"338","Compost Manure","Terrible quality manure","waste of money."""""
"339","Compost Manure","Terrible quality manure","waste of money."""""
"340","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"341","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"342","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"343","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"344","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"345","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"346","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"347","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"348","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"349","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"350","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"351","Sprinkler System","Average system","water pressure could be better."""""
"352","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"353","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"354","Sprinkler System","Average system","water pressure could be better."""""
"355","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"356","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"357","Sprinkler System","Average system","water pressure could be better."""""
"358","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"359","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"360","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"361","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"362","Compost Manure","Terrible quality manure","waste of money."""""
"363","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"364","Sprinkler System","Average system","water pressure could be better."""""
"365","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"366","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"367","Sprinkler System","Average system","water pressure could be better."""""
"368","Compost Manure","Terrible quality manure","waste of money."""""
"369","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"370","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"371","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"372","Compost Manure","Terrible quality manure","waste of money."""""
"373","Sprinkler System","Average system","water pressure could be better."""""
"374","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"375","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"376","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"377","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"378","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"379","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"380","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"381","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"382","Compost Manure","Terrible quality manure","waste of money."""""
"383","Sprinkler System","Average system","water pressure could be better."""""
"384","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"385","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"386","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"387","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"388","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"389","Sprinkler System","Average system","water pressure could be better."""""
"390","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"391","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"392","Compost Manure","Terrible quality manure","waste of money."""""
"393","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"394","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"395","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"396","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"397","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"398","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
