"id","product","review","category"
"67","Compost Manure","Terrible quality manure","waste of money."""""
"68","Sprinkler System","Average system","water pressure could be better."""""
"69","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"70","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"71","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"72","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"73","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"74","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"75","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"76","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"77","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"78","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"79","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"80","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"81","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"82","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"83","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"84","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"85","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"86","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"87","Compost Manure","Terrible quality manure","waste of money."""""
"88","Sprinkler System","Average system","water pressure could be better."""""
"89","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"90","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"91","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"92","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"93","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"94","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"95","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"96","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"97","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"98","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"99","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"100","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
