"id","product","review","category"
"181","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"182","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"183","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"184","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"185","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"186","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"187","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"188","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"189","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"190","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"191","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"192","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"193","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"194","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"195","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"196","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"197","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"198","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"199","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"200","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"201","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"202","Sprinkler System","Average system","water pressure could be better."""""
"203","Sprinkler System","Average system","water pressure could be better."""""
"204","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"205","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"206","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"207","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"208","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"209","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"210","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"211","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"212","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"213","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"214","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"215","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"216","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"217","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"218","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"219","Sprinkler System","Average system","water pressure could be better."""""
"220","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"221","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"222","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"223","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"224","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"225","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"226","Sprinkler System","Average system","water pressure could be better."""""
"227","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"228","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"229","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"230","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"231","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"232","Sprinkler System","Average system","water pressure could be better."""""
"233","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"234","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"235","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"236","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"237","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"238","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"239","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"240","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"241","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"242","Sprinkler System","Average system","water pressure could be better."""""
"243","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"244","Sprinkler System","Average system","water pressure could be better."""""
"245","Sprinkler System","Average system","water pressure could be better."""""
"246","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"247","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"248","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"249","Sprinkler System","Average system","water pressure could be better."""""
"250","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"251","Compost Manure","Terrible quality manure","waste of money."""""
"252","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"253","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"254","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"255","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"256","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"257","Sprinkler System","Average system","water pressure could be better."""""
"258","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"259","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"260","Sprinkler System","Average system","water pressure could be better."""""
"261","Sprinkler System","Average system","water pressure could be better."""""
"262","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"263","Compost Manure","Terrible quality manure","waste of money."""""
"264","Sprinkler System","Average system","water pressure could be better."""""
"265","Sprinkler System","Average system","water pressure could be better."""""
"266","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"267","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"268","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"269","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"270","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"271","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"272","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"273","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"274","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"275","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"276","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"277","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"278","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"279","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"280","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"281","Sprinkler System","Average system","water pressure could be better."""""
"282","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"283","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"284","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"285","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"286","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"287","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"288","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"289","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"290","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"291","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"292","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"293","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"294","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"295","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"296","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"297","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"298","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"299","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"300","Sprinkler System","Average system","water pressure could be better."""""
"301","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"302","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"303","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"304","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"305","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"306","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"307","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"308","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"309","Compost Manure","Terrible quality manure","waste of money."""""
"310","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"311","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"312","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"313","Compost Manure","Terrible quality manure","waste of money."""""
"314","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"315","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"316","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"317","Sprinkler System","Average system","water pressure could be better."""""
"318","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"319","Sprinkler System","Average system","water pressure could be better."""""
"320","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"321","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"322","Sprinkler System","Average system","water pressure could be better."""""
"323","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"324","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"325","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"326","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"327","Sprinkler System","Average system","water pressure could be better."""""
"328","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"329","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"330","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"331","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"332","Sprinkler System","Average system","water pressure could be better."""""
"333","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"334","Sprinkler System","Average system","water pressure could be better."""""
"335","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"336","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"337","Sprinkler System","Average system","water pressure could be better."""""
"338","Sprinkler System","Average system","water pressure could be better."""""
"339","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"340","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"341","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"342","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"343","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"344","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"345","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"346","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"347","Sprinkler System","Average system","water pressure could be better."""""
"348","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"349","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"350","Sprinkler System","Average system","water pressure could be better."""""
"351","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"352","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"353","Sprinkler System","Average system","water pressure could be better."""""
"354","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"355","Sprinkler System","Average system","water pressure could be better."""""
"356","Sprinkler System","Average system","water pressure could be better."""""
"357","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"358","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"359","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"360","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"361","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"362","Sprinkler System","Average system","water pressure could be better."""""
"363","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"364","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"365","Sprinkler System","Average system","water pressure could be better."""""
"366","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"367","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"368","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"369","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"370","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"371","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"372","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"373","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"374","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"375","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"376","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"377","Compost Manure","Terrible quality manure","waste of money."""""
"378","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"379","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"380","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"381","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"382","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"383","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"384","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"385","Sprinkler System","Average system","water pressure could be better."""""
"386","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"387","Sprinkler System","Average system","water pressure could be better."""""
"388","Sprinkler System","Average system","water pressure could be better."""""
"389","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"390","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"391","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"392","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"393","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"394","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"395","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"396","Sprinkler System","Average system","water pressure could be better."""""
"397","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"398","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"399","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
