"id","product","review","category"
"67","Compost Manure","Terrible quality manure","waste of money."""""
"68","Sprinkler System","Average system","water pressure could be better."""""
"69","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"70","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"71","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"72","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"73","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"74","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"75","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"76","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"77","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"78","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"79","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"80","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"81","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"82","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"83","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"84","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"85","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"86","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"87","Compost Manure","Terrible quality manure","waste of money."""""
"88","Sprinkler System","Average system","water pressure could be better."""""
"89","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"90","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"91","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"92","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"93","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"94","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"95","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"96","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"97","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"98","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"99","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"100","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"101","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"102","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"103","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"104","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"105","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"106","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"107","Compost Manure","Terrible quality manure","waste of money."""""
"108","Sprinkler System","Average system","water pressure could be better."""""
"109","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"110","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"111","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"112","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"113","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"114","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"115","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"116","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"117","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"118","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"119","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"120","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"121","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"122","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"123","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"124","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"125","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"126","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"127","Compost Manure","Terrible quality manure","waste of money."""""
"128","Sprinkler System","Average system","water pressure could be better."""""
"129","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"130","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"131","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"132","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"133","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"134","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"135","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"136","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"137","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"138","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"139","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"140","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"141","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"142","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"143","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"144","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"145","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"146","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"147","Compost Manure","Terrible quality manure","waste of money."""""
"148","Sprinkler System","Average system","water pressure could be better."""""
"149","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"150","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"151","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"152","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"153","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"154","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"155","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"156","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"157","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"158","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"159","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"160","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"161","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"162","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"163","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"164","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"165","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"166","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"167","Compost Manure","Terrible quality manure","waste of money."""""
"168","Sprinkler System","Average system","water pressure could be better."""""
"169","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"170","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"171","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"172","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"173","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"174","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"175","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"176","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"177","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"178","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"179","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"180","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"181","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"182","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"183","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"184","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"185","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"186","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"187","Compost Manure","Terrible quality manure","waste of money."""""
"188","Sprinkler System","Average system","water pressure could be better."""""
"189","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"190","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"191","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"192","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"193","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"194","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"195","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"196","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"197","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"198","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"199","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"200","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"201","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"202","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"203","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"204","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"205","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"206","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"207","Compost Manure","Terrible quality manure","waste of money."""""
"208","Sprinkler System","Average system","water pressure could be better."""""
"209","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"210","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"211","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"212","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"213","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"214","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"215","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"216","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"217","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"218","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"219","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"220","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"221","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"222","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"223","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"224","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"225","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"226","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"227","Compost Manure","Terrible quality manure","waste of money."""""
"228","Sprinkler System","Average system","water pressure could be better."""""
"229","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"230","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"231","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"232","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"233","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"234","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"235","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"236","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"237","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"238","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"239","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"240","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"241","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"242","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"243","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"244","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"245","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"246","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"247","Compost Manure","Terrible quality manure","waste of money."""""
"248","Sprinkler System","Average system","water pressure could be better."""""
"249","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"250","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"251","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"252","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"253","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"254","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"255","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"256","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"257","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"258","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"259","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"260","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"261","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"262","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"263","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"264","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"265","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"266","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"267","Compost Manure","Terrible quality manure","waste of money."""""
"268","Sprinkler System","Average system","water pressure could be better."""""
"269","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"270","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"271","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"272","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"273","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"274","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"275","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"276","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"277","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"278","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"279","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"280","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"281","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"282","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"283","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"284","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"285","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"286","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"287","Compost Manure","Terrible quality manure","waste of money."""""
"288","Sprinkler System","Average system","water pressure could be better."""""
"289","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"290","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"291","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"292","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"293","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"294","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"295","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"296","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"297","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"298","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"299","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"300","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"301","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"302","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"303","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"304","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"305","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"306","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"307","Compost Manure","Terrible quality manure","waste of money."""""
"308","Sprinkler System","Average system","water pressure could be better."""""
"309","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"310","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"311","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"312","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"313","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"314","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"315","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"316","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"317","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"318","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"319","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"320","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"321","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"322","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"323","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"324","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"325","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"326","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"327","Compost Manure","Terrible quality manure","waste of money."""""
"328","Sprinkler System","Average system","water pressure could be better."""""
"329","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"330","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"331","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"332","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"333","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"334","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"335","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"336","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"337","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"338","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"339","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"340","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"341","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"342","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"343","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"344","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"345","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"346","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"347","Compost Manure","Terrible quality manure","waste of money."""""
"348","Sprinkler System","Average system","water pressure could be better."""""
"349","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"350","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"351","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"352","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"353","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"354","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"355","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"356","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"357","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"358","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"359","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"360","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"361","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"362","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"363","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"364","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"365","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"366","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"367","Compost Manure","Terrible quality manure","waste of money."""""
"368","Sprinkler System","Average system","water pressure could be better."""""
"369","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"370","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"371","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"372","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"373","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"374","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"375","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"376","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"377","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"378","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"379","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"380","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"381","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"382","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"383","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"384","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"385","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
