"id","product","review","category"
"41","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"42","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"43","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"44","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"45","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"46","Compost Manure","Terrible quality manure","waste of money."""""
"47","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"48","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"49","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"50","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"51","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"52","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"53","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"54","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"55","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"56","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"57","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"58","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"59","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"60","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"61","Compost Manure","Terrible quality manure","waste of money."""""
"62","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"63","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"64","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"65","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"66","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"67","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"68","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"69","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"70","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"71","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"72","Compost Manure","Terrible quality manure","waste of money."""""
"73","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"74","Sprinkler System","Average system","water pressure could be better."""""
"75","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"76","Compost Manure","Terrible quality manure","waste of money."""""
"77","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"78","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"79","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"80","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"81","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"82","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"83","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"84","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"85","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"86","Compost Manure","Terrible quality manure","waste of money."""""
"87","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"88","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"89","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"90","Compost Manure","Terrible quality manure","waste of money."""""
"91","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"92","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"93","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"94","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"95","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"96","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"97","Sprinkler System","Average system","water pressure could be better."""""
"98","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"99","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"100","Compost Manure","Terrible quality manure","waste of money."""""
"101","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"102","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"103","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"104","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"105","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"106","Compost Manure","Terrible quality manure","waste of money."""""
"107","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"108","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"109","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"110","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"111","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"112","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"113","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"114","Compost Manure","Terrible quality manure","waste of money."""""
"115","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"116","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"117","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"118","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"119","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"120","Sprinkler System","Average system","water pressure could be better."""""
"121","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"122","Compost Manure","Terrible quality manure","waste of money."""""
"123","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"124","Compost Manure","Terrible quality manure","waste of money."""""
"125","Compost Manure","Terrible quality manure","waste of money."""""
"126","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"127","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"128","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"129","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"130","Compost Manure","Terrible quality manure","waste of money."""""
"131","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"132","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"133","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"134","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"135","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"136","Compost Manure","Terrible quality manure","waste of money."""""
"137","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"138","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"139","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"140","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"141","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"142","Compost Manure","Terrible quality manure","waste of money."""""
"143","Sprinkler System","Average system","water pressure could be better."""""
"144","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"145","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"146","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"147","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"148","Compost Manure","Terrible quality manure","waste of money."""""
"149","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"150","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"151","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"152","Compost Manure","Terrible quality manure","waste of money."""""
"153","Compost Manure","Terrible quality manure","waste of money."""""
"154","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"155","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"156","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"157","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"158","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"159","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"160","Compost Manure","Terrible quality manure","waste of money."""""
"161","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"162","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"163","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"164","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"165","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"166","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"167","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"168","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"169","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"170","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"171","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"172","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"173","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"174","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"175","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"176","Compost Manure","Terrible quality manure","waste of money."""""
"177","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"178","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"179","Sprinkler System","Average system","water pressure could be better."""""
"180","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"181","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"182","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"183","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"184","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"185","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"186","Sprinkler System","Average system","water pressure could be better."""""
"187","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"188","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"189","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"190","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"191","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"192","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"193","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"194","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"195","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"196","Sprinkler System","Average system","water pressure could be better."""""
"197","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"198","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"199","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"200","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"201","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"202","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"203","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"204","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"205","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"206","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"207","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"208","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"209","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"210","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"211","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"212","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"213","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"214","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"215","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"216","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"217","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"218","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"219","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"220","Compost Manure","Terrible quality manure","waste of money."""""
"221","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"222","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"223","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"224","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"225","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"226","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"227","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"228","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"229","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"230","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"231","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"232","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"233","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"234","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"235","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"236","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"237","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"238","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"239","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"240","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"241","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"242","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"243","Compost Manure","Terrible quality manure","waste of money."""""
"244","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"245","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"246","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"247","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"248","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"249","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"250","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"251","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"252","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"253","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"254","Sprinkler System","Average system","water pressure could be better."""""
"255","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"256","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"257","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"258","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"259","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"260","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"261","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"262","Compost Manure","Terrible quality manure","waste of money."""""
"263","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"264","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"265","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"266","Compost Manure","Terrible quality manure","waste of money."""""
"267","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"268","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"269","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"270","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"271","Compost Manure","Terrible quality manure","waste of money."""""
"272","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"273","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"274","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"275","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"276","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"277","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"278","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"279","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"280","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"281","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"282","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"283","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"284","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"285","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"286","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"287","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"288","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"289","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"290","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"291","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"292","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"293","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"294","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"295","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"296","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"297","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"298","Compost Manure","Terrible quality manure","waste of money."""""
"299","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"300","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"301","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"302","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"303","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"304","Compost Manure","Terrible quality manure","waste of money."""""
"305","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"306","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"307","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"308","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"309","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"310","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"311","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"312","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"313","Compost Manure","Terrible quality manure","waste of money."""""
"314","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"315","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"316","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"317","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"318","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"319","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"320","Sprinkler System","Average system","water pressure could be better."""""
"321","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"322","Sprinkler System","Average system","water pressure could be better."""""
"323","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"324","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"325","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"326","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"327","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"328","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"329","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"330","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"331","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"332","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"333","Compost Manure","Terrible quality manure","waste of money."""""
"334","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"335","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"336","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"337","Sprinkler System","Average system","water pressure could be better."""""
"338","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"339","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"340","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"341","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"342","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"343","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"344","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"345","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"346","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"347","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"348","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"349","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"350","Compost Manure","Terrible quality manure","waste of money."""""
"351","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"352","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"353","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"354","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"355","Compost Manure","Terrible quality manure","waste of money."""""
"356","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"357","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"358","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"359","Compost Manure","Terrible quality manure","waste of money."""""
"360","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"361","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"362","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"363","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"364","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"365","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"366","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"367","Compost Manure","Terrible quality manure","waste of money."""""
"368","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"369","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"370","Compost Manure","Terrible quality manure","waste of money."""""
"371","Compost Manure","Terrible quality manure","waste of money."""""
"372","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"373","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"374","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"375","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"376","Compost Manure","Terrible quality manure","waste of money."""""
"377","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"378","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"379","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"380","Compost Manure","Terrible quality manure","waste of money."""""
"381","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"382","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"383","Compost Manure","Terrible quality manure","waste of money."""""
"384","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"385","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"386","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"387","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"388","Compost Manure","Terrible quality manure","waste of money."""""
"389","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"390","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"391","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"392","Water Pump","The pump broke down after 2 uses","very poor quality."""""
