"id","product","review","category"
"117","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"118","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"119","Compost Manure","Terrible quality manure","waste of money."""""
"120","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"121","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"122","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"123","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"124","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"125","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"126","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"127","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"128","Compost Manure","Terrible quality manure","waste of money."""""
"129","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"130","Sprinkler System","Average system","water pressure could be better."""""
"131","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"132","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"133","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"134","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"135","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"136","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"137","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"138","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"139","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"140","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"141","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"142","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"143","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"144","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"145","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"146","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"147","Sprinkler System","Average system","water pressure could be better."""""
"148","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"149","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"150","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"151","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"152","Sprinkler System","Average system","water pressure could be better."""""
"153","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"154","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"155","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"156","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"157","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"158","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"159","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"160","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"161","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"162","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"163","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"164","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"165","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"166","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"167","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"168","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"169","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"170","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"171","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"172","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"173","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"174","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"175","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"176","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"177","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"178","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"179","Sprinkler System","Average system","water pressure could be better."""""
"180","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"181","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"182","Sprinkler System","Average system","water pressure could be better."""""
"183","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"184","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"185","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"186","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"187","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"188","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"189","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"190","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"191","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"192","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"193","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"194","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"195","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"196","Sprinkler System","Average system","water pressure could be better."""""
"197","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"198","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"199","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"200","Sprinkler System","Average system","water pressure could be better."""""
"201","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"202","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"203","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"204","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"205","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"206","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"207","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"208","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"209","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"210","Sprinkler System","Average system","water pressure could be better."""""
"211","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"212","Compost Manure","Terrible quality manure","waste of money."""""
"213","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"214","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"215","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"216","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"217","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"218","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"219","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"220","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"221","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"222","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"223","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"224","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"225","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"226","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"227","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"228","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"229","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"230","Sprinkler System","Average system","water pressure could be better."""""
"231","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"232","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"233","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"234","Sprinkler System","Average system","water pressure could be better."""""
"235","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"236","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"237","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"238","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"239","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"240","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"241","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"242","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"243","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"244","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"245","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"246","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"247","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"248","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"249","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"250","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"251","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"252","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"253","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"254","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"255","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"256","Sprinkler System","Average system","water pressure could be better."""""
"257","Sprinkler System","Average system","water pressure could be better."""""
"258","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"259","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"260","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"261","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"262","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"263","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"264","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"265","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"266","Sprinkler System","Average system","water pressure could be better."""""
"267","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"268","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"269","Sprinkler System","Average system","water pressure could be better."""""
"270","Sprinkler System","Average system","water pressure could be better."""""
"271","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"272","Sprinkler System","Average system","water pressure could be better."""""
"273","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"274","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"275","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"276","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"277","Sprinkler System","Average system","water pressure could be better."""""
"278","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"279","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"280","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"281","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"282","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"283","Sprinkler System","Average system","water pressure could be better."""""
"284","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"285","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"286","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"287","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"288","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"289","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"290","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"291","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"292","Sprinkler System","Average system","water pressure could be better."""""
"293","Sprinkler System","Average system","water pressure could be better."""""
"294","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"295","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"296","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"297","Sprinkler System","Average system","water pressure could be better."""""
"298","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"299","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"300","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"301","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"302","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"303","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"304","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"305","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"306","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"307","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"308","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"309","Sprinkler System","Average system","water pressure could be better."""""
"310","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"311","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"312","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"313","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"314","Sprinkler System","Average system","water pressure could be better."""""
"315","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"316","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"317","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"318","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"319","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"320","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"321","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"322","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"323","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"324","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"325","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"326","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"327","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"328","Compost Manure","Terrible quality manure","waste of money."""""
"329","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"330","Sprinkler System","Average system","water pressure could be better."""""
"331","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"332","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"333","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"334","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"335","Sprinkler System","Average system","water pressure could be better."""""
"336","Sprinkler System","Average system","water pressure could be better."""""
"337","Sprinkler System","Average system","water pressure could be better."""""
"338","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"339","Sprinkler System","Average system","water pressure could be better."""""
"340","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"341","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"342","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"343","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"344","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"345","Sprinkler System","Average system","water pressure could be better."""""
"346","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"347","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"348","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"349","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"350","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"351","Sprinkler System","Average system","water pressure could be better."""""
"352","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"353","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"354","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"355","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"356","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"357","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"358","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"359","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"360","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"361","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"362","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"363","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"364","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"365","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"366","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"367","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"368","Sprinkler System","Average system","water pressure could be better."""""
"369","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"370","Sprinkler System","Average system","water pressure could be better."""""
"371","Sprinkler System","Average system","water pressure could be better."""""
"372","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"373","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"374","Sprinkler System","Average system","water pressure could be better."""""
"375","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"376","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"377","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"378","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"379","Compost Manure","Terrible quality manure","waste of money."""""
"380","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"381","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"382","Sprinkler System","Average system","water pressure could be better."""""
"383","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"384","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"385","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"386","Sprinkler System","Average system","water pressure could be better."""""
"387","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"388","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"389","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"390","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
